id,y
0,4456068992182160,0
1,4456424178427250,0
2,4456797466940200,0
3,4456791021108920,2
4,4457086404997440,2
5,4457152129019640,0
6,4457827361629760,2
7,4458609708660190,0
8,4458599680017930,2
9,4458853061816280,2
10,4459689523639890,0
11,4459663745597810,2
12,4458970833619120,2
13,4460049088641370,0
14,4460408020984770,0
15,4460044734718810,2
16,4460057116667200,2
17,4460053245947360,0
18,4460003047662520,2
19,4460406158654420,2
20,4460417973233560,0
21,4460420603967690,0
22,4460666649465060,2
23,4460783620098110,2
24,4461139519472380,0
25,4461131160371150,2
26,4461488888731490,0
27,4462104544972710,0
28,4462559836736440,0
29,4462918689545870,0
30,4463222482234740,0
31,4463282205450510,0
32,4468230968346510,0
33,4468341035434870,0
34,4468603934195360,0
35,4463919710511440,0
36,4464045383900520,0
37,4464399178120380,2
38,4464407126239860,0
39,4464303207479990,0
40,4470181806452450,0
41,4470051229237290,0
42,4470146385254120,0
43,4464765973655970,0
44,4465132082049670,2
45,4465131238564520,0
46,4465855921977370,2
47,4455748258222440,0
48,4466191457940130,2
49,4466877365962200,0
50,4467669631499950,0
51,4467574181502060,2
52,4468372098269660,2
53,4460795306441440,0
54,4460953988723200,0
55,4469102997811460,2
56,4469455511584290,0
57,4470201989097430,0
58,4470556433156700,2
59,4470538124828320,0
60,4471286891378060,2
61,4471286468199130,0
62,4471649820955150,0
63,4466397390447760,0
64,4466884478796710,0
65,4467249421631750,0
66,4472380502446650,0
67,4472361660748590,2
68,4468783433597780,0
69,4469416730825640,0
70,4472610375272250,0
71,4469689944612760,0
72,4473096356408230,0
73,4473104807497210,0
74,4470057746647810,0
75,4470201309850860,0
76,4471223461235080,0
77,4473419993612700,0
78,4473394458661250,0
79,4473444626132410,0
80,4470011751758580,2
81,4470515869291910,2
82,4470749111245950,0
83,4470846510695040,0
84,4471088345891280,0
85,4458443634868710,0
86,4457122873797330,0
87,4463077800071650,0
88,4463298232045820,0
89,4463461884977100,0
90,4464762253398680,0
91,4465090114186490,0
92,4465481266031710,0
93,4465484789276880,0
94,4465769880367360,0
95,4466179173678940,0
96,4466147917714230,0
97,4466220088686490,0
98,4466102480736480,0
99,4463105897995420,0
100,4463248919576360,0
101,4463167616674160,2
102,4466403769730470,0
103,4466761270874930,0
104,4467282619603990,0
105,4467171138842270,0
106,4467271176846100,0
107,4467261421626060,0
108,4467579399372290,0
109,4467646345120990,0
110,4467659456330370,2
111,4465814063050410,0
112,4465825555626070,0
113,4468016152860490,0
114,4468021474685240,2
115,4466023589584700,2
116,4468388648803620,0
117,4466491502312840,0
118,4468392281080380,0
119,4468524611204930,0
120,4468661312139730,0
121,4468701442688210,0
122,4468750487582060,0
123,4466733177565440,0
124,4468928522662240,0
125,4468939839203590,0
126,4468870380975090,0
127,4469023661674340,0
128,4469462629905950,0
129,4469793442987710,0
130,4467856886987750,0
131,4469815022517180,0
132,4470151053084380,0
133,4470195797702830,0
134,4468563190752500,0
135,4470539672622250,0
136,4471128687019770,0
137,4471270458329760,0
138,4471574008500810,0
139,4469530950420190,0
140,4469777009538600,0
141,4469681043792210,2
142,4472370134012890,0
143,4473399923596670,0
144,4473257971187150,0
145,4473380994404700,0
146,4473350891571510,0
147,4472884662079970,0
148,4473130292551260,0
149,4455978944546410,0
150,4455854533610770,2
151,4456436706615250,0
152,4456355039556820,0
153,4456256397565940,0
154,4456459317956310,0
155,4456795390624010,1
156,4457161259807340,0
157,4457155224779640,2
158,4457106168388180,0
159,4458963515333490,0
160,4459324455360330,0
161,4459661627836620,1
162,4460056055288120,0
163,4460782978803130,0
164,4460776347352940,2
165,4460797663598790,0
166,4461132112875800,0
167,4461189263829140,0
168,4461494647542440,0
169,4460753353988050,0
170,4462096575801590,0
171,4462957167367740,0
172,4462959336454810,0
173,4463271484895280,0
174,4463682320993470,0
175,4464046571274810,0
176,4464044775810070,0
